order_id,customer_id,customer_name,region,product_id,product_name,price,quantity,total_amount,order_date,status
1001,101,Alice Adams,East,P001,Widget Pro,29.99,2,59.98,2024-01-05,completed
1002,102,Bob Baker,West,P002,Gadget Plus,49.99,1,49.99,2024-01-08,completed
1003,101,Alice Adams,East,P001,Widget Pro,29.99,1,29.99,2024-01-12,completed
1004,103,Charlie Clark,East,P003,Service Basic,99.00,1,99.00,2024-01-15,completed
1005,104,Diana Davis,West,P001,Widget Pro,29.99,5,149.95,2024-01-20,completed
1006,102,Bob Baker,West,P002,Gadget Plus,49.99,2,99.98,2024-01-25,completed
1007,105,Eve Edwards,East,P004,Widget Lite,19.99,3,59.97,2024-02-01,completed
1008,101,Alice Adams,East,P003,Service Basic,99.00,1,99.00,2024-02-05,completed
1009,106,Frank Foster,North,P002,Gadget Plus,49.99,1,49.99,2024-02-10,refunded
1010,103,Charlie Clark,East,P001,Widget Pro,29.99,2,59.98,2024-02-15,completed
1011,104,Diana Davis,West,P005,Gadget Max,79.99,3,239.97,2024-02-20,completed
1012,107,Grace Green,South,P006,Service Pro,149.99,1,149.99,2024-02-25,pending
1013,102,Bob Baker,West,P004,Widget Lite,19.99,4,79.96,2024-03-01,completed
1014,108,Henry Hall,North,P002,Gadget Plus,49.99,2,99.98,2024-03-05,completed
1015,105,Eve Edwards,East,P006,Service Pro,149.99,1,149.99,2024-03-10,completed
