customer_id,customer_name,region,tier,signup_date
CUST-00001,Tzspe Qaygxhs,EU-South,bronze,2020-01-01
CUST-00002,Efdlrwwy Qjmftxcjy,APAC,bronze,2020-01-01
CUST-00003,Ghktrfojp Vrxqefh,EU-North,bronze,2020-01-01
CUST-00004,Lbkruzsau Qqoyqpiog,EU-North,platinum,2020-01-02
CUST-00005,Yziuibnp Muthsdg,EU-North,silver,2020-01-03
CUST-00006,Esdcdn Zzpxcj,US-West,bronze,2020-01-03
CUST-00007,Bzvkcx Qbrgdodcbmw,APAC,bronze,2020-01-03
CUST-00008,Dlhwa Jsedu,US-West,silver,2020-01-04
CUST-00009,Edjfyv Oxjlcszjv,EU-South,platinum,2020-01-05
CUST-00010,Iupvhfk Hcgvhvtavo,EU-South,silver,2020-01-05
CUST-00011,Gmaluu Iekhnam,US-West,silver,2020-01-06
CUST-00012,Zoianr Zcdtdfdspd,US-West,silver,2020-01-07
CUST-00013,Qgzfzl Exphz,LATAM,bronze,2020-01-07
CUST-00014,Jnzeipqt Zonnlf,EU-North,bronze,2020-01-07
CUST-00015,Olwoctwrc Hcjdubpjcr,EU-South,bronze,2020-01-07
CUST-00016,Vtmxsyhei Dldfxbvb,APAC,gold,2020-01-07
CUST-00017,Wunxug Agydgxufvs,EU-North,silver,2020-01-07
CUST-00018,Eetlzajt Demtnwnr,EU-North,silver,2020-01-08
CUST-00019,Ppyiokpce Cydnbedaoet,LATAM,bronze,2020-01-08
CUST-00020,Feaydmpif Cglxhwazbn,US-West,gold,2020-01-09
CUST-00021,Ueqsofjjl Dizihfwfh,EU-South,bronze,2020-01-09
CUST-00022,Hamfh Ofzaegy,US-West,silver,2020-01-10
CUST-00023,Tytehgg Tyemfbg,APAC,bronze,2020-01-10
CUST-00024,Btsiirq Qeyxagyzed,US-West,gold,2020-01-10
CUST-00025,Tfhtsiax Okbtwa,EU-North,silver,2020-01-11
CUST-00026,Lnmevd Rwwfcgremd,APAC,silver,2020-01-11
CUST-00027,Dzncmozxw Dffaex,US-West,bronze,2020-01-11
CUST-00028,Hkfnzq Ollcb,APAC,bronze,2020-01-12
CUST-00029,Sqaxt Spfabnm,EU-South,gold,2020-01-12
CUST-00030,Puabffc Vgqblvrv,APAC,silver,2020-01-13
CUST-00031,Bftynooll Gwpbphmvdyw,APAC,silver,2020-01-13
CUST-00032,Ocnvrm Tofsztz,EU-South,silver,2020-01-14
CUST-00033,Hkcebelql Pnkyxrk,US-West,silver,2020-01-14
CUST-00034,Izhety Eucghd,US-East,gold,2020-01-14
CUST-00035,Ntqjlfap Wnvph,US-East,bronze,2020-01-14
CUST-00036,Xkgap Pkqjgs,EU-North,bronze,2020-01-14
CUST-00037,Vttkmdb Ehknzlgzuye,EU-North,bronze,2020-01-15
CUST-00038,Rehlgroyn Jmyhrcb,APAC,bronze,2020-01-15
CUST-00039,Inalch Jzbzcv,APAC,silver,2020-01-15
CUST-00040,Erbuxo Unqfbmo,APAC,silver,2020-01-16
CUST-00041,Atgvqgf Uqdkacrv,EU-North,bronze,2020-01-16
CUST-00042,Heevz Izvrx,APAC,bronze,2020-01-16
CUST-00043,Gazfqbim Usrzi,EU-North,bronze,2020-01-17
CUST-00044,Cgskue Smogu,EU-North,bronze,2020-01-17
CUST-00045,Cdfjbb Aizokbdvwme,EU-North,bronze,2020-01-17
CUST-00046,Vzlllep Kzxqfcpmq,EU-South,bronze,2020-01-17
CUST-00047,Gppkelkug Quxkipkkrh,EU-South,bronze,2020-01-18
CUST-00048,Jghimvnj Fboxsekm,US-East,gold,2020-01-18
CUST-00049,Ldaorqv Zuuhikrq,LATAM,bronze,2020-01-18
CUST-00050,Yaxdab Uyynjwbtlx,EU-North,bronze,2020-01-18
CUST-00051,Vjnvnhmy Mdsjssrn,APAC,bronze,2020-01-18
CUST-00052,Swvtbnh Ngbev,EU-North,silver,2020-01-19
