id,name,registered,last_login,birth_date,subscription_start
1,Alice,01/15/2024,2024-03-20,1995-06-12,March 1 2024
2,Bob,2024-02-20,20-Mar-2024,08/23/1988,2024-03-15
3,Charlie,March 5 2024,2024/03/21,1992-11-30,04/01/2024
4,Diana,2024-01-30,03/22/2024,July 4 1990,2024-02-28
5,Eve,15-Jan-2024,2024-03-19,1997/03/15,Jan 15 2024
6,Frank,2024/02/10,March 18 2024,1985-12-25,2024-03-01
7,Grace,02/28/2024,2024-03-23,04/17/1993,2024-03-10
8,Hank,2024-03-01,23-Mar-2024,1991-09-08,March 20 2024
9,Ivy,Jan 20 2024,2024/03/20,1998-02-14,01/25/2024
10,Jack,2024-01-10,2024-03-22,December 1 1989,2024-02-01
