id,name,registered,last_login,birth_date,subscription_start
1,Alice,2024-01-15,2024-03-20,1995-06-12,2024-03-01
2,Bob,2024-02-20,2024-03-20,1988-08-23,2024-03-15
3,Charlie,2024-03-05,2024-03-21,1992-11-30,2024-04-01
4,Diana,2024-01-30,2024-03-22,1990-07-04,2024-02-28
5,Eve,2024-01-15,2024-03-19,1997-03-15,2024-01-15
6,Frank,2024-02-10,2024-03-18,1985-12-25,2024-03-01
7,Grace,2024-02-28,2024-03-23,1993-04-17,2024-03-10
8,Hank,2024-03-01,2024-03-23,1991-09-08,2024-03-20
9,Ivy,2024-01-20,2024-03-20,1998-02-14,2024-01-25
10,Jack,2024-01-10,2024-03-22,1989-12-01,2024-02-01
