order_id,customer_id,product_id,quantity,order_date,status,customer_name,region,product_name,price,total_amount
1001,101,P001,2,2024-01-05,completed,Alice Adams,East,Widget Pro,29.99,59.98
1002,102,P002,1,2024-01-08,completed,Bob Baker,West,Gadget Plus,49.99,49.99
1003,101,P001,1,2024-01-12,completed,Alice Adams,East,Widget Pro,29.99,29.99
1004,103,P003,1,2024-01-15,completed,Charlie Clark,East,Service Basic,99.0,99.0
1005,104,P001,5,2024-01-20,completed,Diana Davis,West,Widget Pro,29.99,149.95
1006,102,P002,2,2024-01-25,completed,Bob Baker,West,Gadget Plus,49.99,99.98
1007,105,P004,3,2024-02-01,completed,Eve Edwards,East,Widget Lite,19.99,59.97
1008,101,P003,1,2024-02-05,completed,Alice Adams,East,Service Basic,99.0,99.0
1009,106,P002,1,2024-02-10,refunded,Frank Foster,North,Gadget Plus,49.99,49.99
1010,103,P001,2,2024-02-15,completed,Charlie Clark,East,Widget Pro,29.99,59.98
1011,104,P005,3,2024-02-20,completed,Diana Davis,West,Gadget Max,79.99,239.97
1012,107,P006,1,2024-02-25,pending,Grace Green,South,Service Premium,149.0,149.0
1013,102,P004,4,2024-03-01,completed,Bob Baker,West,Widget Lite,19.99,79.96
1014,108,P002,2,2024-03-05,completed,Henry Hall,North,Gadget Plus,49.99,99.98
1015,105,P006,1,2024-03-10,completed,Eve Edwards,East,Service Premium,149.0,149.0
